,,,Stand,Hit,Optimal,Optimal Return
2,2,False,"tensor(-0.5948, grad_fn=<SelectBackward0>)","tensor(-0.0591, grad_fn=<SelectBackward0>)",Hit,-0.05906028300523758
2,3,True,"tensor(-0.7540, grad_fn=<SelectBackward0>)","tensor(-0.0092, grad_fn=<SelectBackward0>)",Hit,-0.009160585701465607
2,3,False,"tensor(-0.5522, grad_fn=<SelectBackward0>)","tensor(0.0499, grad_fn=<SelectBackward0>)",Hit,0.04992198199033737
2,4,True,"tensor(-0.7640, grad_fn=<SelectBackward0>)","tensor(0.0159, grad_fn=<SelectBackward0>)",Hit,0.015946142375469208
2,4,False,"tensor(-0.5932, grad_fn=<SelectBackward0>)","tensor(0.1362, grad_fn=<SelectBackward0>)",Hit,0.13615775108337402
2,5,True,"tensor(-0.8222, grad_fn=<SelectBackward0>)","tensor(0.0366, grad_fn=<SelectBackward0>)",Hit,0.03656577318906784
2,5,False,"tensor(-0.6615, grad_fn=<SelectBackward0>)","tensor(0.1566, grad_fn=<SelectBackward0>)",Hit,0.15661472082138062
2,6,True,"tensor(-0.9078, grad_fn=<SelectBackward0>)","tensor(0.0105, grad_fn=<SelectBackward0>)",Hit,0.010450951755046844
2,6,False,"tensor(-0.7336, grad_fn=<SelectBackward0>)","tensor(0.1237, grad_fn=<SelectBackward0>)",Hit,0.12372993677854538
2,7,True,"tensor(-0.9967, grad_fn=<SelectBackward0>)","tensor(-0.0701, grad_fn=<SelectBackward0>)",Hit,-0.07011491805315018
2,7,False,"tensor(-0.8111, grad_fn=<SelectBackward0>)","tensor(0.0596, grad_fn=<SelectBackward0>)",Hit,0.05957411974668503
2,8,True,"tensor(-1.0773, grad_fn=<SelectBackward0>)","tensor(-0.1605, grad_fn=<SelectBackward0>)",Hit,-0.16049250960350037
2,8,False,"tensor(-0.8848, grad_fn=<SelectBackward0>)","tensor(-0.0190, grad_fn=<SelectBackward0>)",Hit,-0.01897556334733963
2,9,True,"tensor(-1.1534, grad_fn=<SelectBackward0>)","tensor(-0.2635, grad_fn=<SelectBackward0>)",Hit,-0.2634613513946533
2,9,False,"tensor(-0.9583, grad_fn=<SelectBackward0>)","tensor(-0.1142, grad_fn=<SelectBackward0>)",Hit,-0.11422253400087357
2,10,True,"tensor(-1.2284, grad_fn=<SelectBackward0>)","tensor(-0.3711, grad_fn=<SelectBackward0>)",Hit,-0.371067613363266
2,10,False,"tensor(-1.0329, grad_fn=<SelectBackward0>)","tensor(-0.2188, grad_fn=<SelectBackward0>)",Hit,-0.21880286931991577
3,1,True,"tensor(-1.2293, grad_fn=<SelectBackward0>)","tensor(-0.4156, grad_fn=<SelectBackward0>)",Hit,-0.4155738949775696
3,1,False,"tensor(-0.9647, grad_fn=<SelectBackward0>)","tensor(-0.4404, grad_fn=<SelectBackward0>)",Hit,-0.44044721126556396
3,2,True,"tensor(-0.9026, grad_fn=<SelectBackward0>)","tensor(-0.1936, grad_fn=<SelectBackward0>)",Hit,-0.19364452362060547
